mark,year,mileage,fuel,price
0,2014,92228,2,38900
0,2011,128688,2,35800
0,2013,178000,3,41900
0,2012,116000,2,38900
0,2013,246000,3,28900
0,2010,100000,2,29700
0,2012,185700,3,25990
0,2011,279200,3,16900
0,2012,93064,2,30900
0,2012,123785,2,38999
0,2011,191000,3,19900
0,2011,191545,2,24700
0,2010,265745,3,16500
0,2015,152000,3,43500
0,2011,163069,2,23900
0,2013,115000,0,39700
0,2013,107000,2,33400
0,2014,149000,2,38900
0,2013,149000,3,31999
0,2015,74000,2,35900
0,2017,87300,2,42900
0,2015,141760,2,38900
0,2010,166254,2,31857
0,2011,163450,2,31200
0,2015,80800,2,45900
0,2014,137492,0,39900
0,2018,25253,2,69900
0,2014,188457,3,28900
0,2018,39335,2,53900
0,2014,163000,0,33900
0,2010,131000,2,26900
0,2015,185000,3,29900
0,2011,197676,2,27600
0,2012,255600,3,19990
0,2014,214000,2,31900
0,2015,227000,3,18500
0,2015,150000,3,29900
0,2010,173000,2,22900
0,2010,191000,2,25900
0,2014,55000,3,35300
0,2010,166777,0,24700
0,2015,120756,2,42900
0,2015,69352,2,33900
0,2012,119000,2,32900
0,2011,210000,3,24500
0,2010,165000,0,30000
0,2009,105000,2,15800
0,2014,94000,2,39900
0,2012,106000,2,35900
0,2012,127000,2,32900
0,2012,207000,3,24900
0,2015,124700,2,30500
0,2013,158000,2,32999
0,2013,215000,3,29900
0,2011,200000,3,25900
0,2010,188000,2,26999
0,2015,227900,0,34900
0,2014,174500,3,29000
0,2012,192000,2,27800
0,2011,121000,3,26900
0,2013,241485,2,28900
0,2016,121008,2,44900
0,2011,172487,2,25900
0,2012,189000,2,29999
0,2019,166738,3,48500
0,2013,150634,2,35900
0,2013,86000,2,34900
0,2013,189000,3,24900
0,2016,68651,2,43000
0,2011,247000,3,18999
0,2015,129494,2,36000
0,2012,158800,3,34500
0,2011,196996,2,29900
0,2012,146000,0,32900
0,2011,183400,2,28900
0,2012,160000,2,27900
0,2010,157000,2,29900
0,2011,300000,3,17500
0,2011,146000,2,31900
0,2014,107000,2,35900
0,2012,110000,2,34990
0,2011,128099,2,25900
0,2015,124000,2,35900
0,2010,131000,2,22999
0,2018,82929,2,49950
0,2015,46586,2,46900
0,2013,213000,2,34900
0,2012,188675,2,31500
0,2011,254569,3,19500
0,2012,191388,2,28900
0,2013,103638,2,48900
0,2013,212000,2,28700
0,2010,75000,2,27999
0,2012,87000,2,36900
0,2013,109145,2,32500
0,2014,69000,2,37000
0,2011,137000,2,28999
0,2010,172000,2,29900
0,2014,149000,2,37999
0,2011,170000,2,28499
0,2011,186000,2,26900
0,2010,169000,2,26900
0,2011,245000,3,16400
0,2011,128000,2,32900
0,2011,130000,2,28500
0,2014,213000,3,29900
0,2012,181393,2,32000
0,2016,120000,2,38990
0,2010,111600,2,32900
0,2014,169000,3,29900
0,2013,136253,2,31900
0,2010,191000,3,22900
0,2015,160000,3,33900
